#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
Alessi_13         ; 0.5275; 0.0319;-11.0758; 0.6241; 0.0945; -7.8092; 2.8503; 0.0822; 1.3469; 0.0822; 7.4689; 0.6603; 2.8072; 0.6603; 0.7501; 0.1914;  0.4876
Alessi_15         ; 0.2739; 0.0221;-59.4088; 0.1829; 0.0670;-42.0719; 0.0103; 0.0002; 0.0075; 0.0002; 0.0250; 0.0013; 0.0204; 0.0013; 0.2448; 0.1153;-18.4769
Alessi_18         ; 0.2402; 0.0370;-71.0809; 0.0416; 0.1502;-59.5870; 0.0174; 0.0005; 0.0132; 0.0005; 0.0439; 0.0048; 0.0421; 0.0048; 0.4667; 0.1472;-18.7646
Alessi_19         ; 0.4174; 0.0216;  0.1053; 0.3191; 0.1122;  2.1122; 0.9359; 0.0175; 0.5453; 0.0175; 3.0820; 0.2859; 2.0985; 0.2859; 0.0600; 0.0889;-46.3803
Alessi_2          ; 0.2799; 0.0259;-12.1790; 0.4225; 0.1413;  6.8584; 0.5287; 0.0111; 0.3807; 0.0111; 1.9621; 0.2401; 1.1331; 0.2401; 0.2273; 0.1015; 79.4962
Alessi_20         ; 0.2130; 0.0149; 50.5635; 0.2239; 0.1446; 33.2978; 0.1678; 0.0020; 0.1321; 0.0020; 0.5957; 0.0681; 0.4623; 0.0681; 0.1762; 0.0712; 49.2638
Alessi_21         ; 0.1417; 0.0493;  0.5397; 0.2245; 0.0809; 16.4673; 0.3480; 0.0130; 0.2987; 0.0130; 1.1603; 0.0742; 0.8998; 0.0742; 0.1794; 0.0951; 67.9261
Alessi_24         ; 0.4114; 0.0077;  9.8685; 0.5676; 0.2030; -0.3839; 0.6792; 0.0045; 0.3998; 0.0045; 2.3038; 0.4292; 0.9962; 0.4292; 0.0130; 0.1272; 34.4589
Alessi_3          ; 0.1702; 0.0218;-20.2130; 0.2685; 0.2155;-31.7805; 1.7969; 0.0302; 1.4910; 0.0302; 6.5654; 1.1421; 4.8029; 1.1421; 0.2671; 0.1521;-77.1130
Alessi_31         ; 0.3469; 0.0220; -8.2011; 0.2857; 0.1374; 12.5693; 0.3448; 0.0064; 0.2251; 0.0064; 1.0869; 0.1215; 0.7763; 0.1215; 0.1035; 0.1527;-30.5081
